"idName","gender","InvalsiRead1","InvalsiRead2","InvalsiRead3","InvalsiRead4","InvalsiRead5","InvalsiRead6","InvalsiRead7","InvalsiRead8","InvalsiRead9","InvalsiRead10","InvalsiRead11","InvalsiRead12"
"sltcegjx","F","0","1","1","0","0","1","0","0","0","1","1","1"
"wmrlabkv","M","1","1","1","1","1","1","0","1","1","1","1","1"
"bfexirhl","F","0","0","1","0","0","1","0","0","0","0","0","0"
"ybjqtohk","F","1","1","1","1","0","1","1","1","1","1","1","1"
"tieyqckm","F","0","1","1","0","0","1","0","0","1","0","0","1"
"mvleoxau","F","1","1","0","1","0","0","0","1","0","1","1","0"
"onpfgkde","F","0","0","0","0","0","0","0","0","0","1","0","0"
"jstlrcfd","F","1","1","1","1","0","1","0","0","1","1","1","1"
"wfntzbgr","M","1","1","1","1","0","1","1","1","0","1","1","1"
"yvlbxuwk","M","0","1","0","0","0","0","0","0","0","1","0","1"
"ugtivckn","F","1","1","1","1","1","1","1","1","1","1","1","1"
"tnprxoig","M","1","0","0","0","0","1","0","0","0","1","0","1"
"uhxbnqlg","F","1","0","0","0","0","0","0","0","0","0","0","0"
"cijbdngm","M","1","1","1","1","0","1","1","0","0","1","1","1"
"dfrszgpk","M","1","0","1","1","1","1","0","0","0","1","1","1"
"jinvmloe","F","1","1","1","1","0","1","1","0","1","1","1","1"
"oduztkwi","M","1","1","1","1","1","1","1","1","1","1","1","1"
"xhivsydl","M","0","1","1","1","1","1","0","1","1","1","1","1"
"eptmawdz","M","0","0","0","0","0","0","0","0","0","0","0","0"
"qnxzycgj","F","1","1","1","1","1","1","1","1","0","1","1","1"
"xmzdkopi","F","1","1","0","1","1","1","1","1","0","1","1","1"
"fwecvzja","F","0","0","0","1","0","0","0","0","0","1","0","1"
"eipvfznh","M","1","1","1","1","1","1","1","1","1","1","1","1"
"dcaosvlu","M","1","1","0","1","0","1","1","1","0","1","1","1"
"aobscikw","M","0","1","1","0","0","1","0","0","0","1","1","1"
"kslimuvd","M","1","1","0","1","0","1","0","0","0","1","0","0"
"mouhfcqt","M","0","1","1","1","0","0","0","0","0","1","1","0"
"vslihmgw","M","0","0","0","0","0","0","0","0","0","1","0","1"
"faolhzxc","F","1","1","1","1","0","1","0","1","0","1","1","1"
"xemtgiqz","F","1","1","0","1","0","1","0","0","1","1","1","0"
"orsdkjza"," ","1","1","1","1","0","1","1","0","1","1","1","1"
"cpbilqza"," ","0","1","1","1","0","1","0","1","0","1","0","1"
"wkzjhcsg","F","0","1","1","0","0","1","0","0","0","0","1","0"
"bhjnekoy","M","1","1","1","1","1","1","0","0","1","1","1","1"
"lofujnxm","F","1","1","1","1","0","1","0","1","0","1","1","1"
"lgwphmvn","M","1","1","1","1","0","1","1","1","1","1","1","1"
"saijzcnm","M","1","1","1","0","0","0","0","0","0","0","1","1"
"poiatlvc","F","1","1","1","1","1","1","1","0","1","1","1","1"
"tbplmciz","m","0","1","0","0","0","0","0","0","0","0","0","1"
"mouhcnxv","F","0","0","0","0","0","1","0","0","0","0","0","0"
"tjasoxul","F","1","1","1","1","0","1","0","0","0","1","1","1"
"iynwqcuz","F","1","1","1","1","0","1","1","1","1","1","1","1"
"peoixgvy","F","1","1","1","1","0","1","0","0","0","1","1","1"
"zuxmcahy","M","0","0","0","0","0","0","0","0","0","1","0","1"
"psbjrlxy","M","1","1","1","1","0","1","0","0","0","0","1","1"
"tnsdchub","F","1","1","1","1","0","1","0","1","1","1","1","1"
"ubxsamfk","F","0","1","0","0","0","0","0","0","0","1","0","1"
"cgwhkixb","F","1","1","1","1","0","1","0","0","1","1","0","1"
"drgitbho","F","0","0","0","0","0","0","0","0","0","0","0","0"
"rygctflu","F","0","1","1","1","1","1","0","0","0","1","0","1"
"iyzxdsga","M","1","1","0","1","0","1","1","0","0","1","1","1"
"ohutrsib","F","0","1","1","1","0","1","1","0","0","0","1","1"
"glvybiaz","F","1","1","1","1","1","1","1","0","0","1","1","1"
"xigfncok","M","0","1","0","0","0","0","0","0","0","1","0","0"
"bliznodg","F","0","0","0","1","0","0","0","0","0","1","0","1"
"xbkhdnwq","M","0","0","1","1","0","1","1","0","0","1","1","1"
"lpseayig","F","0","1","1","1","0","1","1","0","1","1","0","1"
"ounfksgc","F","0","1","1","0","0","1","0","0","0","0","1","1"
"zjecouqv","F","0","1","0","1","0","1","1","0","0","1","0","0"
"fmvnzawo","F","1","1","0","1","0","0","0","0","0","0","0","0"
"qlcinyzr","F","0","1","0","1","0","0","0","0","0","1","0","0"
"bghniuac","F","1","1","1","0","0","1","0","0","0","1","1","1"
"nplwtdoe","M","0","0","0","0","0","1","0","0","0","1","0","0"
"zapxnvju","F","1","1","1","1","0","1","0","0","0","1","1","1"
"adhntzfg","M","1","1","0","1","1","1","0","1","1","1","1","1"
"ezjmgsvt","F","1","1","0","1","0","1","0","1","0","1","0","1"
"tasgdlvm","F","1","1","0","1","0","1","0","0","0","1","0","1"
"ecivlabw","F","1","1","1","1","0","1","1","1","1","1","1","1"
"rufwbdet","F","1","1","1","1","1","1","0","0","0","1","0","1"
"ujkfqmch","M","0","1","1","1","1","1","0","1","0","1","1","1"
"hrbfuxsc","F","1","1","0","1","0","0","1","0","0","1","0","1"
"vrnxubec","F","1","1","1","1","0","1","1","0","1","1","0","1"
"bojsnzla","F","1","1","1","1","1","1","0","1","0","1","1","1"
"yuwnkisj","M","1","1","1","1","1","1","1","0","1","1","1","1"
"tvkfeczi"," ","0","1","0","1","0","0","0","0","0","1","0","1"
"gchpyuxz","F","1","1","1","1","0","1","0","0","0","1","0","1"
"vglinqhf","F","1","1","1","1","0","0","0","1","0","1","1","1"
"pdnmxcor","F","0","1","1","1","0","1","0","0","0","1","1","0"
"ekowrtdi","F","0","0","0","0","0","1","0","0","0","1","0","0"
"mulobxpr","f","1","1","1","1","0","1","0","0","1","1","1","1"
"xycjztwh","F","1","1","0","1","0","0","0","0","0","1","1","1"
"jhpmntqd","M","0","0","0","1","0","0","0","0","0","1","0","1"
"luxpgmqc","F","1","1","1","1","0","0","1","1","1","1","1","1"
"ypjitgqx","F","1","1","1","1","0","1","0","0","1","1","1","1"
"ocnhybgp"," ","0","1","0","0","0","0","0","0","0","1","1","0"
"tivxpkof","F","0","1","1","1","0","1","1","1","1","1","1","1"
"wqoasgni","M","1","1","1","1","0","1","0","1","0","1","1","1"
"smvnicjz","M","0","0","1","0","0","0","0","0","0","0","1","1"
"boqjcmih","F","1","1","1","1","1","1","0","1","1","1","1","1"
"ngqiswob","M","1","1","0","1","0","1","0","0","0","1","1","1"
"cqpiogsz","F","1","1","1","1","1","1","1","1","1","1","1","1"
